,File Name,Fashion Sentence,adjectives,nouns,noun_adj_map,suprisal
0,00000001.txt,"though not brighter
than her neighbours, the world persisted in classing her among
clever women; she had wealth, or at least enough of itto give her
all that money can give by way of pleasure to a sensible woman in
an american city; she had her house and her carriage; she dressed
well; her table was good, and her furniture was never allowed to
fall behind the latest standard of decorative art.","['brighter', 'clever', 'least', 'enough', 'sensible', 'american', 'good', 'latest', 'decorative']","['neighbours', 'world', 'women', 'wealth', 'itto', 'money', 'way', 'pleasure', 'woman', 'city', 'house', 'carriage', 'table', 'furniture', 'standard', 'art']","[{'women': ['clever'], 'woman': ['sensible'], 'city': ['american'], 'standard': ['latest'], 'art': ['decorative']}, {'women': ['clever'], 'woman': ['sensible'], 'city': ['american'], 'standard': ['latest'], 'art': ['decorative']}, {'women': ['clever'], 'woman': ['sensible'], 'city': ['american'], 'standard': ['latest'], 'art': ['decorative']}, {'women': ['clever'], 'woman': ['sensible'], 'city': ['american'], 'standard': ['latest'], 'art': ['decorative']}, {'women': ['clever'], 'woman': ['sensible'], 'city': ['american'], 'standard': ['latest'], 'art': ['decorative']}]",6.638681668037173
1,00000001.txt,"the
wealth of syria and persia was poured out upon the melancholy
wilton carpets; embroidered comets and woven gold from japan
and teheran depended from and covered over every sad
stuff-curtain; a strange medley of sketches, paintings, fans,
embroideries, and porcelain was hung, nailed, pinned, or stuck
against the wall; finally the domestic altarpiece, the mystical corot
landscape, was hoisted to its place over the parlour fire, and then
all was over.","['melancholy', 'embroidered', 'sad', 'strange', 'domestic', 'mystical', 'parlour']","['wealth', 'carpets', 'comets', 'gold', 'stuff', 'curtain', 'medley', 'sketches', 'paintings', 'fans', 'embroideries', 'porcelain', 'wall', 'altarpiece', 'corot', 'landscape', 'place', 'fire']","[{'carpets': ['melancholy'], 'comets': ['embroidered'], 'gold': ['woven'], 'curtain': ['sad'], 'medley': ['strange'], 'altarpiece': ['domestic'], 'corot': ['mystical']}, {'carpets': ['melancholy'], 'comets': ['embroidered'], 'gold': ['woven'], 'curtain': ['sad'], 'medley': ['strange'], 'altarpiece': ['domestic'], 'corot': ['mystical']}, {'carpets': ['melancholy'], 'comets': ['embroidered'], 'gold': ['woven'], 'curtain': ['sad'], 'medley': ['strange'], 'altarpiece': ['domestic'], 'corot': ['mystical']}, {'carpets': ['melancholy'], 'comets': ['embroidered'], 'gold': ['woven'], 'curtain': ['sad'], 'medley': ['strange'], 'altarpiece': ['domestic'], 'corot': ['mystical']}, {'carpets': ['melancholy'], 'comets': ['embroidered'], 'gold': ['woven'], 'curtain': ['sad'], 'medley': ['strange'], 'altarpiece': ['domestic'], 'corot': ['mystical']}, {'carpets': ['melancholy'], 'comets': ['embroidered'], 'gold': ['woven'], 'curtain': ['sad'], 'medley': ['strange'], 'altarpiece': ['domestic'], 'corot': ['mystical']}, {'carpets': ['melancholy'], 'comets': ['embroidered'], 'gold': ['woven'], 'curtain': ['sad'], 'medley': ['strange'], 'altarpiece': ['domestic'], 'corot': ['mystical']}]",6.708426136406869
2,00000001.txt,"she dressed as skilfully as new york women do, but in
growing older she began to show symptoms of dangerous
unconventionality.","['older', 'dangerous']","['women', 'symptoms', 'unconventionality']",[{'unconventionality': ['dangerous']}],7.4095773901952295
3,00000001.txt,"she had been heard to express a low opinion of
her countrywomen who blindly fell down before the golden calf of
mr. worth, and she had even fought a battle of great severity,
while it lasted, with one of her best-dressed friends who had been
invited--and had gone--to mr. worth's afternoon tea-parties.","['low', 'golden', 'great']","['opinion', 'countrywomen', 'calf', 'battle', 'severity', 'friends', 'afternoon', 'tea', 'parties']","[{'opinion': ['low'], 'calf': ['golden'], 'severity': ['great'], 'friends': ['dressed']}, {'opinion': ['low'], 'calf': ['golden'], 'severity': ['great'], 'friends': ['dressed']}, {'opinion': ['low'], 'calf': ['golden'], 'severity': ['great'], 'friends': ['dressed']}, {'opinion': ['low'], 'calf': ['golden'], 'severity': ['great'], 'friends': ['dressed']}]",6.588804635495148
4,00000001.txt,"the moment his head was turned, mrs. lee dashed at her peonia
giant, who was then consuming his fish, and wishing he
understood why the british minister had worn no gloves, while he
himself had sacrificed his convictions by wearing the largest and
whitest pair of french kids that could be bought for money on
pennsylvania avenue.","['largest', 'whitest', 'french']","['moment', 'head', 'peonia', 'giant', 'fish', 'gloves', 'convictions', 'pair', 'kids', 'money']","[{'pair': ['largest'], 'kids': ['french']}, {'pair': ['largest'], 'kids': ['french']}]",7.052978242937231
5,00000001.txt,"the senator found that his neighbour--a
fashionable new york woman, exquisitely dressed, and with a
voice and manner seductively soft and gentle--had read the
speeches of webster and calhoun.","['fashionable', 'soft', 'gentle']","['senator', 'neighbour', 'woman', 'voice', 'speeches']",[{'woman': ['fashionable']}],7.555852074407066
6,00000001.txt,"each of these has a free pass in every city
and village, 'good for this generation only,' and it depends on each
to make use of this pass or not as it may happen to suit his or her
fancy.","['free', 'good']","['pass', 'city', 'village', 'generation', 'use', 'pass', 'fancy']",[{'pass': ['free']}],5.982473608502885
7,00000001.txt,"this was the refined style of mr. french, indulging in
what he was pleased to term ""badinaige.""","['refined', 'pleased']","['style', 'term', 'badinaige']",[{'style': ['refined']}],8.311698626684024
8,00000001.txt,"""

mrs. lee smiled rather a forced smile, and soothed his wounded
feelings; she had no doubt the dinner would be very agreeable
whether the senator were there or not; at any rate she would do all
she could to carry it off well, and sybil should wear her newest
dress.","['forced', 'wounded', 'agreeable', 'newest']","['smile', 'feelings', 'doubt', 'dinner', 'senator', 'rate', 'sybil', 'dress']","[{'smile': ['forced'], 'feelings': ['wounded'], 'dress': ['newest']}, {'smile': ['forced'], 'feelings': ['wounded'], 'dress': ['newest']}, {'smile': ['forced'], 'feelings': ['wounded'], 'dress': ['newest']}]",7.1918177731869655
9,00000001.txt,"his eye instantly caught
madeleine's, and she almost laughed aloud, for she saw that the
senator was dressed with very unsenatorial neatness; that he had
actually a flower in his burton-hole and no gloves!

",['unsenatorial'],"['eye', 'senator', 'neatness', 'flower', 'burton', 'hole', 'gloves']",[{'neatness': ['unsenatorial']}],7.174358094471373
