File Name,Fashion Sentence
00000001.txt,"though not brighter
than her neighbours, the world persisted in classing her among
clever women; she had wealth, or at least enough of itto give her
all that money can give by way of pleasure to a sensible woman in
an american city; she had her house and her carriage; she dressed
well; her table was good, and her furniture was never allowed to
fall behind the latest standard of decorative art."
00000001.txt,"the
wealth of syria and persia was poured out upon the melancholy
wilton carpets; embroidered comets and woven gold from japan
and teheran depended from and covered over every sad
stuff-curtain; a strange medley of sketches, paintings, fans,
embroideries, and porcelain was hung, nailed, pinned, or stuck
against the wall; finally the domestic altarpiece, the mystical corot
landscape, was hoisted to its place over the parlour fire, and then
all was over."
00000001.txt,"she dressed as skilfully as new york women do, but in
growing older she began to show symptoms of dangerous
unconventionality."
00000001.txt,"she had been heard to express a low opinion of
her countrywomen who blindly fell down before the golden calf of
mr. worth, and she had even fought a battle of great severity,
while it lasted, with one of her best-dressed friends who had been
invited--and had gone--to mr. worth's afternoon tea-parties."
00000001.txt,"the moment his head was turned, mrs. lee dashed at her peonia
giant, who was then consuming his fish, and wishing he
understood why the british minister had worn no gloves, while he
himself had sacrificed his convictions by wearing the largest and
whitest pair of french kids that could be bought for money on
pennsylvania avenue."
00000001.txt,"the senator found that his neighbour--a
fashionable new york woman, exquisitely dressed, and with a
voice and manner seductively soft and gentle--had read the
speeches of webster and calhoun."
00000001.txt,"each of these has a free pass in every city
and village, 'good for this generation only,' and it depends on each
to make use of this pass or not as it may happen to suit his or her
fancy."
00000001.txt,"this was the refined style of mr. french, indulging in
what he was pleased to term ""badinaige."""
00000001.txt,"""

mrs. lee smiled rather a forced smile, and soothed his wounded
feelings; she had no doubt the dinner would be very agreeable
whether the senator were there or not; at any rate she would do all
she could to carry it off well, and sybil should wear her newest
dress."
00000001.txt,"his eye instantly caught
madeleine's, and she almost laughed aloud, for she saw that the
senator was dressed with very unsenatorial neatness; that he had
actually a flower in his burton-hole and no gloves!

"
00000001.txt,"you have gone about peddling
your wooden nutmegs until you have got yourself into congress,
and now you pull them out of your pockets and not only want us to
take them at your own price, but you lecture us on our sins if we
don't.

well!"
00000001.txt,"there was something in the newspaper style so
inscrutably vulgar, something so inexplicably revolting to the
sense of feminine decency, that she shrank under it as though it
were a poisonous spider."
